"Imbalance settlement period (UTC)","+ Imbalance Price [CZK/MWh] - MBA|CZ","- Imbalance Price [CZK/MWh] - MBA|CZ","Status","Total Imbalance [MWh] - MBA|CZ","Difference","Situation","Status"
"21.02.2020 09:00 - 21.02.2020 10:00","2590","2348","Estimated","44","","Deficit","Final"
"21.02.2020 10:00 - 21.02.2020 11:00","2423","2347","Estimated","13","","Deficit","Final"
"21.02.2020 11:00 - 21.02.2020 12:00","-14","-2","Estimated","4","","Surplus","Final"
"21.02.2020 12:00 - 21.02.2020 13:00","-31","-1","Estimated","9","","Surplus","Final"
"21.02.2020 13:00 - 21.02.2020 14:00","-207","-1","Estimated","59","","Surplus","Final"
"21.02.2020 14:00 - 21.02.2020 15:00","-292","-1","Estimated","83","","Surplus","Final"
"21.02.2020 15:00 - 21.02.2020 16:00","-255","-1","Estimated","73","","Surplus","Final"
"21.02.2020 16:00 - 21.02.2020 17:00","-145","-1","Estimated","41","","Surplus","Final"
"21.02.2020 17:00 - 21.02.2020 18:00","2389","2338","Estimated","7","","Deficit","Final"
"21.02.2020 18:00 - 21.02.2020 19:00","2456","2348","Estimated","19","","Deficit","Final"
"21.02.2020 19:00 - 21.02.2020 20:00","-73","-1","Estimated","21","","Surplus","Final"
"21.02.2020 20:00 - 21.02.2020 21:00","2486","2346","Estimated","25","","Deficit","Final"
"21.02.2020 21:00 - 21.02.2020 22:00","2444","2350","Estimated","17","","Deficit","Final"
"21.02.2020 22:00 - 21.02.2020 23:00","2379","2350","Estimated","5","","Deficit","Final"
"21.02.2020 23:00 - 22.02.2020 00:00","2642","2350","Estimated","53","","Deficit","Final"
"22.02.2020 00:00 - 22.02.2020 01:00","2720","2350","Estimated","67","","Deficit","Final"
"22.02.2020 01:00 - 22.02.2020 02:00","2424","2350","Estimated","13","","Deficit","Final"
"22.02.2020 02:00 - 22.02.2020 03:00","-61","-1","Estimated","17","","Surplus","Final"
"22.02.2020 03:00 - 22.02.2020 04:00","-22","-1","Estimated","6","","Surplus","Final"
"22.02.2020 04:00 - 22.02.2020 05:00","2438","2350","Estimated","16","","Deficit","Final"
"22.02.2020 05:00 - 22.02.2020 06:00","-144","-1","Estimated","41","","Surplus","Final"
"22.02.2020 06:00 - 22.02.2020 07:00","-130","-1","Estimated","37","","Surplus","Final"
"22.02.2020 07:00 - 22.02.2020 08:00","2584","1990","Estimated","43","","Deficit","Final"
"22.02.2020 08:00 - 22.02.2020 09:00","2442","2318","Estimated","17","","Deficit","Final"
"22.02.2020 09:00 - 22.02.2020 10:00","2586","2343","Estimated","43","","Deficit","Final"
"22.02.2020 10:00 - 22.02.2020 11:00","-51","-1","Estimated","14","","Surplus","Final"
"22.02.2020 11:00 - 22.02.2020 12:00","-6","-1","Estimated","2","","Surplus","Final"
"22.02.2020 12:00 - 22.02.2020 13:00","2553","2350","Estimated","37","","Deficit","Final"
"22.02.2020 13:00 - 22.02.2020 14:00","2531","2338","Estimated","33","","Deficit","Final"
"22.02.2020 14:00 - 22.02.2020 15:00","2581","2326","Estimated","42","","Deficit","Final"
"22.02.2020 15:00 - 22.02.2020 16:00","2656","2343","Estimated","56","","Deficit","Final"
"22.02.2020 16:00 - 22.02.2020 17:00","2587","2343","Estimated","43","","Deficit","Final"
"22.02.2020 17:00 - 22.02.2020 18:00","2522","2342","Estimated","31","","Deficit","Final"
"22.02.2020 18:00 - 22.02.2020 19:00","2851","2347","Estimated","91","","Deficit","Final"
"22.02.2020 19:00 - 22.02.2020 20:00","2731","2317","Estimated","69","","Deficit","Final"
"22.02.2020 20:00 - 22.02.2020 21:00","-80","-1","Estimated","22","","Surplus","Final"
"22.02.2020 21:00 - 22.02.2020 22:00","-195","-1","Estimated","55","","Surplus","Final"
"22.02.2020 22:00 - 22.02.2020 23:00","-485","-1","Estimated","138","","Surplus","Final"
"22.02.2020 23:00 - 23.02.2020 00:00","-344","-1","Estimated","98","","Surplus","Final"
"23.02.2020 00:00 - 23.02.2020 01:00","-99","-1","Estimated","28","","Surplus","Final"
"23.02.2020 01:00 - 23.02.2020 02:00","-120","-1","Estimated","34","","Surplus","Final"
"23.02.2020 02:00 - 23.02.2020 03:00","-718","-1","Estimated","205","","Surplus","Final"
"23.02.2020 03:00 - 23.02.2020 04:00","-614","-1","Estimated","175","","Surplus","Final"
"23.02.2020 04:00 - 23.02.2020 05:00","-606","-1","Estimated","173","","Surplus","Final"
"23.02.2020 05:00 - 23.02.2020 06:00","-368","-1","Estimated","105","","Surplus","Final"
"23.02.2020 06:00 - 23.02.2020 07:00","-233","-1","Estimated","66","","Surplus","Final"
"23.02.2020 07:00 - 23.02.2020 08:00","-343","-1","Estimated","98","","Surplus","Final"
"23.02.2020 08:00 - 23.02.2020 09:00","2361","2350","Estimated","2","","Deficit","Final"
"23.02.2020 09:00 - 23.02.2020 10:00","2484","2350","Estimated","24","","Deficit","Final"
"23.02.2020 10:00 - 23.02.2020 11:00","2384","2350","Estimated","6","","Deficit","Final"
"23.02.2020 11:00 - 23.02.2020 12:00","-76","-1","Estimated","21","","Surplus","Final"
"23.02.2020 12:00 - 23.02.2020 13:00","2738","2350","Estimated","71","","Deficit","Final"
"23.02.2020 13:00 - 23.02.2020 14:00","2556","2350","Estimated","37","","Deficit","Final"
"23.02.2020 14:00 - 23.02.2020 15:00","-286","-1","Estimated","82","","Surplus","Final"
"23.02.2020 15:00 - 23.02.2020 16:00","-301","-1","Estimated","86","","Surplus","Final"
"23.02.2020 16:00 - 23.02.2020 17:00","-192","-1","Estimated","55","","Surplus","Final"
"23.02.2020 17:00 - 23.02.2020 18:00","2515","2350","Estimated","30","","Deficit","Final"
"23.02.2020 18:00 - 23.02.2020 19:00","2482","2350","Estimated","24","","Deficit","Final"
"23.02.2020 19:00 - 23.02.2020 20:00","2449","2350","Estimated","18","","Deficit","Final"
"23.02.2020 20:00 - 23.02.2020 21:00","-305","-1","Estimated","87","","Surplus","Final"
"23.02.2020 21:00 - 23.02.2020 22:00","-328","-1","Estimated","94","","Surplus","Final"
"23.02.2020 22:00 - 23.02.2020 23:00","-193","-1","Estimated","55","","Surplus","Final"
"23.02.2020 23:00 - 24.02.2020 00:00","2442","2350","Estimated","17","","Deficit","Final"
"24.02.2020 00:00 - 24.02.2020 01:00","-70","-1","Estimated","20","","Surplus","Final"
"24.02.2020 01:00 - 24.02.2020 02:00","2413","2350","Estimated","11","","Deficit","Final"
"24.02.2020 02:00 - 24.02.2020 03:00","-136","-1","Estimated","39","","Surplus","Final"
"24.02.2020 03:00 - 24.02.2020 04:00","2691","2350","Estimated","62","","Deficit","Final"
"24.02.2020 04:00 - 24.02.2020 05:00","2500","2350","Estimated","27","","Deficit","Final"
"24.02.2020 05:00 - 24.02.2020 06:00","2589","2350","Estimated","44","","Deficit","Final"
"24.02.2020 06:00 - 24.02.2020 07:00","-114","-1","Estimated","32","","Surplus","Final"
"24.02.2020 07:00 - 24.02.2020 08:00","-97","-1","Estimated","27","","Surplus","Final"
"24.02.2020 08:00 - 24.02.2020 09:00","2823","2350","Estimated","86","","Deficit","Final"
"24.02.2020 09:00 - 24.02.2020 10:00","-118","-1","Estimated","34","","Surplus","Final"
"24.02.2020 10:00 - 24.02.2020 11:00","-821","-1","Estimated","234","","Surplus","Final"
"24.02.2020 11:00 - 24.02.2020 12:00","-633","-1","Estimated","181","","Surplus","Final"
"24.02.2020 12:00 - 24.02.2020 13:00","-539","-1","Estimated","154","","Surplus","Final"
"24.02.2020 13:00 - 24.02.2020 14:00","2473","2350","Estimated","22","","Deficit","Final"
"24.02.2020 14:00 - 24.02.2020 15:00","2591","2350","Estimated","44","","Deficit","Final"
"24.02.2020 15:00 - 24.02.2020 16:00","-93","-1","Estimated","26","","Surplus","Final"
"24.02.2020 16:00 - 24.02.2020 17:00","-54","-1","Estimated","15","","Surplus","Final"
"24.02.2020 17:00 - 24.02.2020 18:00","2528","2350","Estimated","32","","Deficit","Final"
"24.02.2020 18:00 - 24.02.2020 19:00","2508","2350","Estimated","29","","Deficit","Final"
"24.02.2020 19:00 - 24.02.2020 20:00","-57","-1","Estimated","16","","Surplus","Final"
"24.02.2020 20:00 - 24.02.2020 21:00","2401","2350","Estimated","9","","Deficit","Final"
"24.02.2020 21:00 - 24.02.2020 22:00","-9","-1","Estimated","2","","Surplus","Final"
"24.02.2020 22:00 - 24.02.2020 23:00","-96","-1","Estimated","27","","Surplus","Final"
"24.02.2020 23:00 - 25.02.2020 00:00","2524","2350","Estimated","32","","Deficit","Final"
"25.02.2020 00:00 - 25.02.2020 01:00","-13","-1","Estimated","3","","Surplus","Final"
"25.02.2020 01:00 - 25.02.2020 02:00","-114","-1","Estimated","32","","Surplus","Final"
"25.02.2020 02:00 - 25.02.2020 03:00","2518","2350","Estimated","30","","Deficit","Final"
"25.02.2020 03:00 - 25.02.2020 04:00","-189","-1","Estimated","54","","Surplus","Final"
"25.02.2020 04:00 - 25.02.2020 05:00","2366","2350","Estimated","3","","Deficit","Final"
"25.02.2020 05:00 - 25.02.2020 06:00","-2","-1","Estimated","0","","Balanced","Final"
"25.02.2020 06:00 - 25.02.2020 07:00","2409","2350","Estimated","11","","Deficit","Final"
"25.02.2020 07:00 - 25.02.2020 08:00","2974","2350","Estimated","113","","Deficit","Final"
"25.02.2020 08:00 - 25.02.2020 09:00","2688","2350","Estimated","61","","Deficit","Final"
"25.02.2020 09:00 - 25.02.2020 10:00","2421","2350","Estimated","13","","Deficit","Final"
"25.02.2020 10:00 - 25.02.2020 11:00","2475","2350","Estimated","23","","Deficit","Final"
"25.02.2020 11:00 - 25.02.2020 12:00","2701","2350","Estimated","64","","Deficit","Final"
"25.02.2020 12:00 - 25.02.2020 13:00","2407","2350","Estimated","10","","Deficit","Final"
"25.02.2020 13:00 - 25.02.2020 14:00","-29","-1","Estimated","8","","Surplus","Final"
"25.02.2020 14:00 - 25.02.2020 15:00","2673","2350","Estimated","59","","Deficit","Final"
"25.02.2020 15:00 - 25.02.2020 16:00","-167","-1","Estimated","47","","Surplus","Final"
"25.02.2020 16:00 - 25.02.2020 17:00","-31","-1","Estimated","8","","Surplus","Final"
"25.02.2020 17:00 - 25.02.2020 18:00","-38","-1","Estimated","10","","Surplus","Final"
"25.02.2020 18:00 - 25.02.2020 19:00","-158","-1","Estimated","45","","Surplus","Final"
"25.02.2020 19:00 - 25.02.2020 20:00","2430","2350","Estimated","15","","Deficit","Final"
"25.02.2020 20:00 - 25.02.2020 21:00","-61","-1","Estimated","17","","Surplus","Final"
"25.02.2020 21:00 - 25.02.2020 22:00","-160","-1","Estimated","45","","Surplus","Final"
"25.02.2020 22:00 - 25.02.2020 23:00","-185","-1","Estimated","53","","Surplus","Final"
"25.02.2020 23:00 - 26.02.2020 00:00","-49","-1","Estimated","14","","Surplus","Final"
"26.02.2020 00:00 - 26.02.2020 01:00","-16","-1","Estimated","4","","Surplus","Final"
"26.02.2020 01:00 - 26.02.2020 02:00","-264","-1","Estimated","75","","Surplus","Final"
"26.02.2020 02:00 - 26.02.2020 03:00","-170","-1","Estimated","48","","Surplus","Final"
"26.02.2020 03:00 - 26.02.2020 04:00","2512","2350","Estimated","29","","Deficit","Final"
"26.02.2020 04:00 - 26.02.2020 05:00","-225","-1","Estimated","64","","Surplus","Final"
"26.02.2020 05:00 - 26.02.2020 06:00","-154","-1","Estimated","44","","Surplus","Final"
"26.02.2020 06:00 - 26.02.2020 07:00","2684","2350","Estimated","61","","Deficit","Final"
"26.02.2020 07:00 - 26.02.2020 08:00","2888","2350","Estimated","98","","Deficit","Final"
"26.02.2020 08:00 - 26.02.2020 09:00","2908","2350","Estimated","102","","Deficit","Final"
"26.02.2020 09:00 - 26.02.2020 10:00","2670","2350","Estimated","58","","Deficit","Final"
"26.02.2020 10:00 - 26.02.2020 11:00","2534","2350","Estimated","34","","Deficit","Final"
"26.02.2020 11:00 - 26.02.2020 12:00","-343","-1","Estimated","98","","Surplus","Final"
"26.02.2020 12:00 - 26.02.2020 13:00","-26","-1","Estimated","7","","Surplus","Final"
"26.02.2020 13:00 - 26.02.2020 14:00","2873","2350","Estimated","95","","Deficit","Final"
"26.02.2020 14:00 - 26.02.2020 15:00","-303","-1","Estimated","86","","Surplus","Final"
"26.02.2020 15:00 - 26.02.2020 16:00","-74","-1","Estimated","21","","Surplus","Final"
"26.02.2020 16:00 - 26.02.2020 17:00","2498","2350","Estimated","27","","Deficit","Final"
"26.02.2020 17:00 - 26.02.2020 18:00","2550","2350","Estimated","36","","Deficit","Final"
"26.02.2020 18:00 - 26.02.2020 19:00","2752","2350","Estimated","73","","Deficit","Final"
"26.02.2020 19:00 - 26.02.2020 20:00","-41","-1","Estimated","11","","Surplus","Final"
"26.02.2020 20:00 - 26.02.2020 21:00","-121","-1","Estimated","34","","Surplus","Final"
"26.02.2020 21:00 - 26.02.2020 22:00","2433","2350","Estimated","15","","Deficit","Final"
"26.02.2020 22:00 - 26.02.2020 23:00","2521","2350","Estimated","31","","Deficit","Final"
"26.02.2020 23:00 - 27.02.2020 00:00","-191","-1","Estimated","54","","Surplus","Final"
"27.02.2020 00:00 - 27.02.2020 01:00","-73","-1","Estimated","21","","Surplus","Final"
"27.02.2020 01:00 - 27.02.2020 02:00","2367","2350","Estimated","3","","Deficit","Final"
"27.02.2020 02:00 - 27.02.2020 03:00","-81","-1","Estimated","23","","Surplus","Final"
"27.02.2020 03:00 - 27.02.2020 04:00","-71","-1","Estimated","20","","Surplus","Final"
"27.02.2020 04:00 - 27.02.2020 05:00","-230","-1","Estimated","65","","Surplus","Final"
"27.02.2020 05:00 - 27.02.2020 06:00","2771","2350","Estimated","76","","Deficit","Final"
"27.02.2020 06:00 - 27.02.2020 07:00","2824","2350","Estimated","86","","Deficit","Final"
"27.02.2020 07:00 - 27.02.2020 08:00","-411","-1","Estimated","117","","Surplus","Final"
"27.02.2020 08:00 - 27.02.2020 09:00","-1156","-1","Estimated","330","","Surplus","Final"
"27.02.2020 09:00 - 27.02.2020 10:00","-295","-1","Estimated","84","","Surplus","Final"
"27.02.2020 10:00 - 27.02.2020 11:00","-25","-1","Estimated","7","","Surplus","Final"
"27.02.2020 11:00 - 27.02.2020 12:00","-57","-1","Estimated","16","","Surplus","Final"
"27.02.2020 12:00 - 27.02.2020 13:00","-250","-1","Estimated","71","","Surplus","Final"
"27.02.2020 13:00 - 27.02.2020 14:00","-209","-1","Estimated","59","","Surplus","Final"
"27.02.2020 14:00 - 27.02.2020 15:00","2386","2330","Estimated","7","","Deficit","Final"
"27.02.2020 15:00 - 27.02.2020 16:00","-153","-1","Estimated","43","","Surplus","Final"
"27.02.2020 16:00 - 27.02.2020 17:00","2475","2350","Estimated","23","","Deficit","Final"
"27.02.2020 17:00 - 27.02.2020 18:00","3681","2350","Estimated","242","","Deficit","Final"
"27.02.2020 18:00 - 27.02.2020 19:00","4255","2350","Estimated","346","","Deficit","Final"
"27.02.2020 19:00 - 27.02.2020 20:00","2403","2350","Estimated","10","","Deficit","Final"
"27.02.2020 20:00 - 27.02.2020 21:00","-291","-1","Estimated","83","","Surplus","Final"
"27.02.2020 21:00 - 27.02.2020 22:00","-53","-1","Estimated","15","","Surplus","Final"
"27.02.2020 22:00 - 27.02.2020 23:00","2355","2350","Estimated","1","","Deficit","Final"
"27.02.2020 23:00 - 28.02.2020 00:00","-120","-1","Estimated","34","","Surplus","Final"
"28.02.2020 00:00 - 28.02.2020 01:00","-6","-1","Estimated","1","","Surplus","Final"
"28.02.2020 01:00 - 28.02.2020 02:00","-35","-1","Estimated","10","","Surplus","Final"
"28.02.2020 02:00 - 28.02.2020 03:00","-239","-1","Estimated","68","","Surplus","Final"
"28.02.2020 03:00 - 28.02.2020 04:00","2366","2350","Estimated","3","","Deficit","Final"
"28.02.2020 04:00 - 28.02.2020 05:00","-107","-1","Estimated","30","","Surplus","Final"
"28.02.2020 05:00 - 28.02.2020 06:00","-62","-1","Estimated","17","","Surplus","Final"
"28.02.2020 06:00 - 28.02.2020 07:00","-39","-1","Estimated","11","","Surplus","Final"
"28.02.2020 07:00 - 28.02.2020 08:00","2574","2350","Estimated","41","","Deficit","Final"
"28.02.2020 08:00 - 28.02.2020 09:00","2441","2350","Estimated","17","","Deficit","Final"
"28.02.2020 09:00 - 28.02.2020 10:00","2719","2350","Estimated","67","","Deficit","Final"
"28.02.2020 10:00 - 28.02.2020 11:00","-16","-1","Estimated","4","","Surplus","Final"
"28.02.2020 11:00 - 28.02.2020 12:00","-74","-1","Estimated","21","","Surplus","Final"
"28.02.2020 12:00 - 28.02.2020 13:00","3142","2350","Estimated","144","","Deficit","Final"
"28.02.2020 13:00 - 28.02.2020 14:00","-105","-1","Estimated","30","","Surplus","Final"
"28.02.2020 14:00 - 28.02.2020 15:00","-321","-1","Estimated","92","","Surplus","Final"
"28.02.2020 15:00 - 28.02.2020 16:00","-158","-1","Estimated","45","","Surplus","Final"
"28.02.2020 16:00 - 28.02.2020 17:00","2450","2350","Estimated","18","","Deficit","Final"
"28.02.2020 17:00 - 28.02.2020 18:00","2704","2350","Estimated","64","","Deficit","Final"
"28.02.2020 18:00 - 28.02.2020 19:00","2449","2350","Estimated","18","","Deficit","Final"
"28.02.2020 19:00 - 28.02.2020 20:00","-40","-1","Estimated","11","","Surplus","Final"
"28.02.2020 20:00 - 28.02.2020 21:00","-113","-1","Estimated","32","","Surplus","Final"
"28.02.2020 21:00 - 28.02.2020 22:00","-139","-1","Estimated","39","","Surplus","Final"
"28.02.2020 22:00 - 28.02.2020 23:00","-202","-1","Estimated","57","","Surplus","Final"
"28.02.2020 23:00 - 29.02.2020 00:00","2376","2350","Estimated","5","","Deficit","Final"
"29.02.2020 00:00 - 29.02.2020 01:00","-23","-1","Estimated","6","","Surplus","Final"
"29.02.2020 01:00 - 29.02.2020 02:00","-50","-1","Estimated","14","","Surplus","Final"
"29.02.2020 02:00 - 29.02.2020 03:00","-197","-1","Estimated","56","","Surplus","Final"
"29.02.2020 03:00 - 29.02.2020 04:00","-38","-1","Estimated","11","","Surplus","Final"
"29.02.2020 04:00 - 29.02.2020 05:00","2537","2350","Estimated","34","","Deficit","Final"
"29.02.2020 05:00 - 29.02.2020 06:00","-191","-1","Estimated","54","","Surplus","Final"
"29.02.2020 06:00 - 29.02.2020 07:00","2357","2350","Estimated","1","","Deficit","Final"
"29.02.2020 07:00 - 29.02.2020 08:00","2629","2350","Estimated","51","","Deficit","Final"
"29.02.2020 08:00 - 29.02.2020 09:00","2780","2350","Estimated","78","","Deficit","Final"
"29.02.2020 09:00 - 29.02.2020 10:00","2902","2350","Estimated","100","","Deficit","Final"
"29.02.2020 10:00 - 29.02.2020 11:00","2361","2350","Estimated","2","","Deficit","Final"
"29.02.2020 11:00 - 29.02.2020 12:00","-337","-1","Estimated","96","","Surplus","Final"
"29.02.2020 12:00 - 29.02.2020 13:00","-199","-1","Estimated","56","","Surplus","Final"
"29.02.2020 13:00 - 29.02.2020 14:00","2538","2350","Estimated","34","","Deficit","Final"
"29.02.2020 14:00 - 29.02.2020 15:00","-111","-1","Estimated","31","","Surplus","Final"
"29.02.2020 15:00 - 29.02.2020 16:00","-324","-1","Estimated","92","","Surplus","Final"
"29.02.2020 16:00 - 29.02.2020 17:00","-106","-1","Estimated","30","","Surplus","Final"
"29.02.2020 17:00 - 29.02.2020 18:00","2417","2350","Estimated","12","","Deficit","Final"
"29.02.2020 18:00 - 29.02.2020 19:00","-113","-1","Estimated","32","","Surplus","Final"
"29.02.2020 19:00 - 29.02.2020 20:00","-74","-1","Estimated","21","","Surplus","Final"
"29.02.2020 20:00 - 29.02.2020 21:00","-550","-1","Estimated","157","","Surplus","Final"
"29.02.2020 21:00 - 29.02.2020 22:00","-593","-1","Estimated","169","","Surplus","Final"
"29.02.2020 22:00 - 29.02.2020 23:00","-321","-1","Estimated","91","","Surplus","Final"
"29.02.2020 23:00 - 01.03.2020 00:00","-330","-1","Estimated","94","","Surplus","Final"
"01.03.2020 00:00 - 01.03.2020 01:00","-109","-1","Estimated","31","","Surplus","Final"
"01.03.2020 01:00 - 01.03.2020 02:00","-361","-1","Estimated","103","","Surplus","Final"
"01.03.2020 02:00 - 01.03.2020 03:00","-208","-1","Estimated","59","","Surplus","Final"
"01.03.2020 03:00 - 01.03.2020 04:00","-81","-1","Estimated","23","","Surplus","Final"
"01.03.2020 04:00 - 01.03.2020 05:00","-225","-1","Estimated","64","","Surplus","Final"
"01.03.2020 05:00 - 01.03.2020 06:00","-250","-1","Estimated","71","","Surplus","Final"
"01.03.2020 06:00 - 01.03.2020 07:00","-286","-1","Estimated","81","","Surplus","Final"
"01.03.2020 07:00 - 01.03.2020 08:00","-362","-1","Estimated","103","","Surplus","Final"
"01.03.2020 08:00 - 01.03.2020 09:00","-827","-112","Estimated","236","","Surplus","Final"
"01.03.2020 09:00 - 01.03.2020 10:00","-780","-284","Estimated","223","","Surplus","Final"
"01.03.2020 10:00 - 01.03.2020 11:00","-720","-88","Estimated","142","","Surplus","Final"
"01.03.2020 11:00 - 01.03.2020 12:00","-1066","-1","Estimated","304","","Surplus","Final"
"01.03.2020 12:00 - 01.03.2020 13:00","-3335","-231","Estimated","454","","Surplus","Final"
"01.03.2020 13:00 - 01.03.2020 14:00","-3335","-295","Estimated","404","","Surplus","Final"
"01.03.2020 14:00 - 01.03.2020 15:00","-1277","-316","Estimated","365","","Surplus","Final"
"01.03.2020 15:00 - 01.03.2020 16:00","-1250","-452","Estimated","222","","Surplus","Final"
"01.03.2020 16:00 - 01.03.2020 17:00","-187","-1","Estimated","53","","Surplus","Final"
"01.03.2020 17:00 - 01.03.2020 18:00","-123","-1","Estimated","35","","Surplus","Final"
"01.03.2020 18:00 - 01.03.2020 19:00","-113","-1","Estimated","32","","Surplus","Final"
"01.03.2020 19:00 - 01.03.2020 20:00","2399","2350","Estimated","9","","Deficit","Final"
"01.03.2020 20:00 - 01.03.2020 21:00","-124","-1","Estimated","35","","Surplus","Final"
"01.03.2020 21:00 - 01.03.2020 22:00","-196","-1","Estimated","56","","Surplus","Final"
"01.03.2020 22:00 - 01.03.2020 23:00","-247","-1","Estimated","70","","Surplus","Final"
"01.03.2020 23:00 - 02.03.2020 00:00","-160","-1","Estimated","46","","Surplus","Final"
"02.03.2020 00:00 - 02.03.2020 01:00","-126","-1","Estimated","36","","Surplus","Final"
"02.03.2020 01:00 - 02.03.2020 02:00","-382","-1","Estimated","109","","Surplus","Final"
"02.03.2020 02:00 - 02.03.2020 03:00","-714","-1","Estimated","204","","Surplus","Final"
"02.03.2020 03:00 - 02.03.2020 04:00","-628","-1","Estimated","179","","Surplus","Final"
"02.03.2020 04:00 - 02.03.2020 05:00","-444","-1","Estimated","126","","Surplus","Final"
"02.03.2020 05:00 - 02.03.2020 06:00","-251","-1","Estimated","71","","Surplus","Final"
"02.03.2020 06:00 - 02.03.2020 07:00","2440","2350","Estimated","16","","Deficit","Final"
"02.03.2020 07:00 - 02.03.2020 08:00","-242","-1","Estimated","69","","Surplus","Final"
"02.03.2020 08:00 - 02.03.2020 09:00","-469","-1","Estimated","134","","Surplus","Final"
"02.03.2020 09:00 - 02.03.2020 10:00","-329","-1","Estimated","94","","Surplus","Final"
"02.03.2020 10:00 - 02.03.2020 11:00","-185","-1","Estimated","53","","Surplus","Final"
"02.03.2020 11:00 - 02.03.2020 12:00","-211","-1","Estimated","60","","Surplus","Final"
"02.03.2020 12:00 - 02.03.2020 13:00","-693","-1","Estimated","198","","Surplus","Final"
"02.03.2020 13:00 - 02.03.2020 14:00","-597","-1","Estimated","170","","Surplus","Final"
"02.03.2020 14:00 - 02.03.2020 15:00","-332","-1","Estimated","95","","Surplus","Final"
"02.03.2020 15:00 - 02.03.2020 16:00","-495","-1","Estimated","141","","Surplus","Final"
"02.03.2020 16:00 - 02.03.2020 17:00","-229","-1","Estimated","65","","Surplus","Final"
"02.03.2020 17:00 - 02.03.2020 18:00","-201","-1","Estimated","57","","Surplus","Final"
"02.03.2020 18:00 - 02.03.2020 19:00","-117","-1","Estimated","33","","Surplus","Final"
"02.03.2020 19:00 - 02.03.2020 20:00","-361","-1","Estimated","103","","Surplus","Final"
"02.03.2020 20:00 - 02.03.2020 21:00","-278","-1","Estimated","79","","Surplus","Final"
"02.03.2020 21:00 - 02.03.2020 22:00","-359","-1","Estimated","102","","Surplus","Final"
"02.03.2020 22:00 - 02.03.2020 23:00","-292","-1","Estimated","83","","Surplus","Final"
"02.03.2020 23:00 - 03.03.2020 00:00","-5","-1","Estimated","1","","Surplus","Final"
"03.03.2020 00:00 - 03.03.2020 01:00","-109","-1","Estimated","31","","Surplus","Final"
"03.03.2020 01:00 - 03.03.2020 02:00","-185","-1","Estimated","53","","Surplus","Final"
"03.03.2020 02:00 - 03.03.2020 03:00","-150","-1","Estimated","43","","Surplus","Final"
"03.03.2020 03:00 - 03.03.2020 04:00","-55","-1","Estimated","15","","Surplus","Final"
"03.03.2020 04:00 - 03.03.2020 05:00","-113","-1","Estimated","32","","Surplus","Final"
"03.03.2020 05:00 - 03.03.2020 06:00","-94","-1","Estimated","26","","Surplus","Final"
"03.03.2020 06:00 - 03.03.2020 07:00","-135","-1","Estimated","38","","Surplus","Final"
"03.03.2020 07:00 - 03.03.2020 08:00","2615","2350","Estimated","48","","Deficit","Final"
"03.03.2020 08:00 - 03.03.2020 09:00","2777","2350","Estimated","78","","Deficit","Final"
"03.03.2020 09:00 - 03.03.2020 10:00","2584","2350","Estimated","43","","Deficit","Final"
"03.03.2020 10:00 - 03.03.2020 11:00","2439","2350","Estimated","16","","Deficit","Final"
"03.03.2020 11:00 - 03.03.2020 12:00","2659","2350","Estimated","56","","Deficit","Final"
"03.03.2020 12:00 - 03.03.2020 13:00","2558","2350","Estimated","38","","Deficit","Final"
"03.03.2020 13:00 - 03.03.2020 14:00","-16","-1","Estimated","4","","Surplus","Final"
"03.03.2020 14:00 - 03.03.2020 15:00","-89","-1","Estimated","25","","Surplus","Final"
"03.03.2020 15:00 - 03.03.2020 16:00","-110","-1","Estimated","31","","Surplus","Final"
"03.03.2020 16:00 - 03.03.2020 17:00","-51","-1","Estimated","14","","Surplus","Final"
"03.03.2020 17:00 - 03.03.2020 18:00","2605","2350","Estimated","46","","Deficit","Final"
"03.03.2020 18:00 - 03.03.2020 19:00","-69","-1","Estimated","20","","Surplus","Final"
"03.03.2020 19:00 - 03.03.2020 20:00","-250","-1","Estimated","71","","Surplus","Final"
"03.03.2020 20:00 - 03.03.2020 21:00","-49","-1","Estimated","14","","Surplus","Final"
"03.03.2020 21:00 - 03.03.2020 22:00","-18","-1","Estimated","5","","Surplus","Final"
"03.03.2020 22:00 - 03.03.2020 23:00","2401","2350","Estimated","9","","Deficit","Final"
"03.03.2020 23:00 - 04.03.2020 00:00","-250","-1","Estimated","71","","Surplus","Final"
"04.03.2020 00:00 - 04.03.2020 01:00","-171","-1","Estimated","48","","Surplus","Final"
"04.03.2020 01:00 - 04.03.2020 02:00","-23","-1","Estimated","6","","Surplus","Final"
"04.03.2020 02:00 - 04.03.2020 03:00","2384","2350","Estimated","6","","Deficit","Final"
"04.03.2020 03:00 - 04.03.2020 04:00","-49","-1","Estimated","14","","Surplus","Final"
"04.03.2020 04:00 - 04.03.2020 05:00","2378","2350","Estimated","5","","Deficit","Final"
"04.03.2020 05:00 - 04.03.2020 06:00","2389","2346","Estimated","7","","Deficit","Final"
"04.03.2020 06:00 - 04.03.2020 07:00","2476","2346","Estimated","23","","Deficit","Final"
"04.03.2020 07:00 - 04.03.2020 08:00","-107","-1","Estimated","30","","Surplus","Final"
"04.03.2020 08:00 - 04.03.2020 09:00","-240","-1","Estimated","68","","Surplus","Final"
"04.03.2020 09:00 - 04.03.2020 10:00","-298","-1","Estimated","85","","Surplus","Final"
